Restaurant,City,State/Province,Country,Original Air Date
YJ's Snack Bar,Kansas City,Missouri,United States of America,2008-04-07
Hillbilly Hot Dogs,Lesage,West Virginia,United States of America,2008-04-14
Dot's Back Inn,Richmond,Virginia,United States of America,2008-04-14
Scully's Tavern,Miami,Florida,United States of America,2008-04-14
11th Street Diner,Miami Beach,Florida,United States of America,2008-05-18
Little Tea Shop,Memphis,Tennessee,United States of America,2008-05-18
Bobo Drive-In,Topeka,Kansas,United States of America,2008-05-18
Panini Pete's,Fairhope,Alabama,United States of America,2008-05-19
Maria's Taco Express,Austin,Texas,United States of America,2008-05-19
Joe's Farm Grill,Gilbert,Arizona,United States of America,2008-05-19
Leonard's BBQ,Memphis,Tennessee,United States of America,2008-05-26
Tom's Bar-B-Q,Memphis,Tennessee,United States of America,2008-05-26
Marlowe's Ribs,Memphis,Tennessee,United States of America,2008-05-26
Cozy Corner,Memphis,Tennessee,United States of America,2008-05-26
Blue Moon Café,Baltimore,Maryland,United States of America,2008-06-15
Tip Top Café,San Antonio,Texas,United States of America,2008-06-15
Grampa's Bakery & Restaurant,Dania Beach,Florida,United States of America,2008-06-15
Central City Cafe,Huntington,West Virginia,United States of America,2008-06-15
Matthews Cafeteria,Tucker,Georgia,United States of America,2008-06-23
Monte Carlo Steak House,Albuquerque,New Mexico,United States of America,2008-06-23
The Rivershack Tavern,Jefferson,Louisiana,United States of America,2008-06-23
Chaps Pit Beef,Baltimore,Maryland,United States of America,2008-06-30
Benny's Seafood Restaurant,South Miami,Florida,United States of America,2008-06-30
Burger Bar,Roy,Utah,United States of America,2008-06-30
Texas Pride BBQ,Adkins,Texas,United States of America,2008-07-07
The Joint,New Orleans,Louisiana,United States of America,2008-07-07
The Shed,Ocean Springs,Mississippi,United States of America,2008-07-07
Town Talk Diner,Minneapolis,Minnesota,United States of America,2008-07-14
Broadway Diner,Baltimore,Maryland,United States of America,2008-07-14
Blue Plate Diner,Salt Lake City,Utah,United States of America,2008-07-14
The Highlander,Atlanta,Georgia,United States of America,2008-07-21
Starlite Lounge,Blawnox,Pennsylvania,United States of America,2008-07-21
Gumbo Shack,Fairhope,Alabama,United States of America,2008-07-21
G&A Restaurant,Baltimore,Maryland,United States of America,2008-07-28
Casino El Camino,Austin,Texas,United States of America,2008-07-28
The Wienery,Minneapolis,Minnesota,United States of America,2008-07-28
Captain Chuck A Mucks,Rescue,Virginia,United States of America,2008-08-04
Uncle Lou's,Memphis,Tennessee,United States of America,2008-08-04
Dixie Quicks,Omaha,Nebraska,United States of America,2008-08-04
Aunt Lena's Creamery,Chandler,Arizona,United States of America,2008-08-11
Doumar's,Norfolk,Virginia,United States of America,2008-08-11
The Creole Creamery,New Orleans,Louisiana,United States of America,2008-08-11
The Cove,San Antonio,Texas,United States of America,2008-08-18
Bryant-Lake Bowl,Minneapolis,Minnesota,United States of America,2008-08-18
Cabbage Town Market,Atlanta,Georgia,United States of America,2008-08-18
Jamaica Kitchen,Kendale Lakes,Florida,United States of America,2008-09-15
Crystal Restaurant,Pittsburgh,Pennsylvania,United States of America,2008-09-15
Red Iguana,Salt Lake City,Utah,United States of America,2008-09-15
Colonnade,Atlanta,Georgia,United States of America,2008-09-22
Manci's Antique Club,Daphne,Alabama,United States of America,2008-09-22
Amato's,Omaha,Nebraska,United States of America,2008-09-22
Brick Oven Pizza,Baltimore,Maryland,United States of America,2008-09-29
Victor's 1959 Café,Minneapolis,Minnesota,United States of America,2008-09-29
Darwell's Café,Long Beach,Mississippi,United States of America,2008-09-29
Nadine's Restaurant,Pittsburgh,Pennsylvania,United States of America,2008-10-06
Casamento's Restaurant,New Orleans,Louisiana,United States of America,2008-10-06
Big Mama's Kitchen & Catering,Omaha,Nebraska,United States of America,2008-10-06
Moochie's Meatballs & More,Salt Lake City,Utah,United States of America,2008-10-13
Tioli's Crazee Burger,San Diego,California,United States of America,2008-10-13
Cemitas Puebla,Chicago,Illinois,United States of America,2008-10-13
Stoney Creek Inn,Baltimore,Maryland,United States of America,2008-11-03
Alcenia's,Memphis,Tennessee,United States of America,2008-11-03
Donatelli's,White Bear Lake,Minnesota,United States of America,2008-11-03
Lone Star Taqueria,Salt Lake City,Utah,United States of America,2008-11-10
Modern Café,Minneapolis,Minnesota,United States of America,2008-11-10
Brewburger's,Omaha,Nebraska,United States of America,2008-11-10
Surrey's Café,New Orleans,Louisiana,United States of America,2008-11-10
Harry's Roadhouse,Santa Fe,New Mexico,United States of America,2008-11-10
Dor-Stop Restaurant,Pittsburgh,Pennsylvania,United States of America,2008-11-10
LoBello's Spaghetti House,Coraopolis,Pennsylvania,United States of America,2008-11-17
Di Pasquale's,Baltimore,Maryland,United States of America,2008-11-17
Pizzeria Luigi,San Diego,California,United States of America,2008-11-17
Sophia's Place,Albuquerque,New Mexico,United States of America,2008-11-24
Magnolia Cafe,Austin,Texas,United States of America,2008-11-24
Glenn's Diner,Chicago,Illinois,United States of America,2008-11-24
Ruth's Diner,Salt Lake City,Utah,United States of America,2008-12-01
O'Rourke's Diner,Middletown,Connecticut,United States of America,2008-12-01
Parasol's,New Orleans,Louisiana,United States of America,2008-12-01
Tommy's Joynt,San Francisco,California,United States of America,2009-01-05
Joe Tess Place,Omaha,Nebraska,United States of America,2009-01-05
Big Jim's,Pittsburgh,Pennsylvania,United States of America,2009-01-05
Valencia Luncheria,Norwalk,Connecticut,United States of America,2009-01-12
The Original Vito & Nick's Pizzeria,Chicago,Illinois,United States of America,2009-01-12
Emily's Lebanese Delicatessen,Minneapolis,Minnesota,United States of America,2009-01-12
Pat's BBQ,Salt Lake City,Utah,United States of America,2009-01-19
Blow Fly Inn,Gulfport,Mississippi,United States of America,2009-01-19
Tune-Up Café,Santa Fe,New Mexico,United States of America,2009-01-19
Hob Nob Hill,San Diego,California,United States of America,2009-01-26
The Silver Skillet,Atlanta,Georgia,United States of America,2009-01-26
Tufano's Vernon Park Tap,Chicago,Illinois,United States of America,2009-01-26
Standard Diner,Albuquerque,New Mexico,United States of America,2009-02-02
Dell Rhea's Chicken Basket,Willowbrook,Illinois,United States of America,2009-02-02
Salsa Brava,Flagstaff,Arizona,United States of America,2009-02-02
Green Mesquite,Austin,Texas,United States of America,2009-02-09
Gorilla BBQ,Pacifica,California,United States of America,2009-02-09
Wilson's Holy Smoke BBQ,Fairfield,Connecticut,United States of America,2009-02-09
Cecilia's Café,Albuquerque,New Mexico,United States of America,2009-02-16
Joey K's Restaurant & Bar,New Orleans,Louisiana,United States of America,2009-02-16
Kelly O's Diner,Pittsburgh,Pennsylvania,United States of America,2009-02-16
Super Duper Weenie,Fairfield,Connecticut,United States of America,2009-03-16
California Tacos,Omaha,Nebraska,United States of America,2009-03-16
Bert's Burger Bowl,Santa Fe,New Mexico,United States of America,2009-03-16
Giusti's,Walnut Grove,California,United States of America,2009-03-23
Haus Murphy's,Glendale,Arizona,United States of America,2009-03-23
Louie's,Dallas,Texas,United States of America,2009-03-23
Bizzaro Café,Seattle,Washington,United States of America,2009-04-06
Chef Point Café,Watauga,Texas,United States of America,2009-04-06
Jamie's Bar & Grill,Sacramento,California,United States of America,2009-04-06
Bluewater Seafood Market & Grill,San Diego,California,United States of America,2009-04-13
Brandy's Restaurant & Bakery,Flagstaff,Arizona,United States of America,2009-04-13
Kuma's Corner,Chicago,Illinois,United States of America,2009-04-13
Bar Gernika,Boise,Idaho,United States of America,2009-04-20
Café Rolle,Sacramento,California,United States of America,2009-04-20
Havana Hideout,Lake Worth,Florida,United States of America,2009-04-20
La Piazza Al Forno,Glendale,Arizona,United States of America,2009-04-27
Slim's Last Chance Chili Shack & Watering Hole,Seattle,Washington,United States of America,2009-04-27
Twisted Root Burger Co.,Dallas,Texas,United States of America,2009-04-27
Arleta Library Bakery & Cafe,Portland,Oregon,United States of America,2009-05-04
Bubba's Diner,San Anselmo,California,United States of America,2009-05-04
Flakowitz of Boynton Bakery & Deli Restaurant,Boynton Beach,Florida,United States of America,2009-05-04
Backroad Pizza,Santa Fe,New Mexico,United States of America,2009-05-11
Jamaica Gates Caribbean Cuisine,Arlington,Texas,United States of America,2009-05-11
Chef Lou's Westside Drive-In,Boise,Idaho,United States of America,2009-05-11
Black Duck Café,Westport,Connecticut,United States of America,2009-05-25
Otto's Sausage Kitchen,Portland,Oregon,United States of America,2009-05-25
Sol Food Puerto Rican Cuisine,San Rafael,California,United States of America,2009-05-25
Giuseppe's Restaurant,Phoenix,Arizona,United States of America,2009-06-01
Southern Kitchen Restaurant,Tacoma,Washington,United States of America,2009-06-01
Zia Diner & Angel Food Catering,Santa Fe,New Mexico,United States of America,2009-06-01
Blue Marlin Fish House Restaurant,North Miami Beach,Florida,United States of America,2009-06-08
Fred's Texas Café,Fort Worth,Texas,United States of America,2009-06-08
Pine State Biscuits,Portland,Oregon,United States of America,2009-06-08
Georgia Greek Restaurant & Deli,Seattle,Washington,United States of America,2009-06-15
Los Tacquitos Grill,Phoenix,Arizona,United States of America,2009-06-15
Rocco's Café,San Francisco,California,United States of America,2009-06-15
Blueplate Lunch Counter & Soda Fountain,Portland,Oregon,United States of America,2009-06-22
Don's Hilltop Kodiak Grill,Boise,Idaho,United States of America,2009-06-22
La Camoronera Restaurant & Fish Market,Miami,Florida,United States of America,2009-06-22
Dottie's True Blue Café,San Francisco,California,United States of America,2009-06-29
Over Easy,Phoenix,Arizona,United States of America,2009-06-29
Comet Café,Milwaukee,Wisconsin,United States of America,2009-06-29
Polka Restaurant & Catering,Los Angeles,California,United States of America,2009-07-27
Avila's Café,Dallas,Texas,United States of America,2009-07-27
Mama E's,Oklahoma City,Oklahoma,United States of America,2009-07-27
Bunk Sandwiches,Portland,Oregon,United States of America,2009-08-03
Sonny's Famous Steak Hogies,Hollywood,Florida,United States of America,2009-08-03
The Depot American Diner,Chicago,Illinois,United States of America,2009-08-03
Lankford Grocery,Houston,Texas,United States of America,2009-08-10
Fab Hot Dogs,Reseda,California,United States of America,2009-08-10
Cempazuchi,Milwaukee,Wisconsin,United States of America,2009-08-10
Rick's Press Room & Grill,Meridian,Idaho,United States of America,2009-08-17
Nic's Grill,Oklahoma City,Oklahoma,United States of America,2009-08-17
Pam's Kitchen,Seattle,Washington,United States of America,2009-08-17
Prince Lebanese Grill,Arlington,Texas,United States of America,2009-08-24
Tre Kronor,Chicago,Illinois,United States of America,2009-08-24
La Texanita,Santa Rosa,California,United States of America,2009-08-24
Podnah's Pit Barbecue,Portland,Oregon,United States of America,2009-08-31
Donnie Mac's Trailer Park Cuisine,Boise,Idaho,United States of America,2009-08-31
Whale's Rib,Deerfield Beach,Florida,United States of America,2009-08-31
Eischen's Bar & Grill,Okarche,Oklahoma,United States of America,2009-09-07
Mom's Tamales,Los Angeles,California,United States of America,2009-09-07
Kenny & Ziggy's,Houston,Texas,United States of America,2009-09-07
Tap Tap Haitian Restaurant,Miami Beach,Florida,United States of America,2009-10-05
Pok Pok,Portland,Oregon,United States of America,2009-10-05
Niko Niko's,Houston,Texas,United States of America,2009-10-05
Honky Tonk BBQ,Chicago,Illinois,United States of America,2009-10-12
Pizzalchik,Boise,Idaho,United States of America,2009-10-12
Lucky's Café,Cleveland,Ohio,United States of America,2009-10-12
Cattlemen's Steakhouse,Oklahoma City,Oklahoma,United States of America,2009-10-19
Sam LaGrassa's,Boston,Massachusetts,United States of America,2009-10-19
Nickel Diner,Los Angeles,California,United States of America,2009-10-19
Parkview Nightclub,Cleveland,Ohio,United States of America,2009-10-26
The Shanty,Wadsworth,Illinois,United States of America,2009-10-26
Grover's Bar & Grill,East Amherst,New York,United States of America,2009-10-26
Louis Family Restaurant,Providence,Rhode Island,United States of America,2009-11-02
Café Pita+,Houston,Texas,United States of America,2009-11-02
Mambos Café,Glendale,California,United States of America,2009-11-02
The Little Depot Diner,Peabody,Massachusetts,United States of America,2009-11-09
Santa Cruz Diner,Santa Cruz,California,United States of America,2009-11-09
The Diner,Norman,Oklahoma,United States of America,2009-11-09
Lake Effect Diner,Buffalo,New York,United States of America,2009-11-16
Geraci's Restaurant,Cleveland,Ohio,United States of America,2009-11-16
Morin's Hometown Bar & Grill,Attleboro,Massachusetts,United States of America,2009-11-16
Mr. Bartley's Gourmet Burgers,Cambridge,Massachusetts,United States of America,2009-11-23
Tee Off Bar & Grill,San Francisco,California,United States of America,2009-11-23
T-Bone Tom's Steakhouse,Kemah,Texas,United States of America,2009-11-23
Q Restaurant,San Francisco,California,United States of America,2010-01-11
Sterle's Slovenian Country House,Cleveland,Ohio,United States of America,2010-01-11
Pizza Junction,North Tonawanda,New York,United States of America,2010-01-11
Crazy Burger Café & Juice Bar,Narragansett,Rhode Island,United States of America,2010-01-18
The Oinkster,Eagle Rock,California,United States of America,2010-01-18
Bob's Taco Station,Rosenberg,Texas,United States of America,2010-01-18
900 Grayson Restaurant,Berkeley,California,United States of America,2010-01-25
Rudy's Can't Fail Cafe,Emeryville,California,United States of America,2010-01-25
Rick & Ann's Restaurant,Berkeley,California,United States of America,2010-01-25
Taste of Peru,Chicago,Illinois,United States of America,2010-02-01
Ingrid's Kitchen,Oklahoma City,Oklahoma,United States of America,2010-02-01
Blackthorn Restaurant & Pub,Buffalo,New York,United States of America,2010-02-01
Melt Bar & Grilled,Lakewood,Ohio,United States of America,2010-02-08
South 21 Drive-In,Charlotte,North Carolina,United States of America,2010-02-08
Red Lion Pub & Restaurant,Houston,Texas,United States of America,2010-02-08
Pawley's Front Porch,Columbia,South Carolina,United States of America,2010-02-15
Sophia Restaurant,Buffalo,New York,United States of America,2010-02-15
Bette's Oceanview Diner,Berkeley,California,United States of America,2010-02-15
Naglee Park Garage,San Jose,California,United States of America,2010-02-22
Dish,Charlotte,North Carolina,United States of America,2010-02-22
The Liberty Elm Diner,Providence,Rhode Island,United States of America,2010-02-22
Momocho,Cleveland,Ohio,United States of America,2010-03-22
Aldo's Harbor Restaurant,Santa Cruz,California,United States of America,2010-03-22
Earl's Drive-In,Chaffee,New York,United States of America,2010-03-22
Landmark Restaurant,Charlotte,North Carolina,United States of America,2010-03-29
Dish Café & Catering,Reno,Nevada,United States of America,2010-03-29
Pier 23 Café,San Francisco,California,United States of America,2010-03-29
Highway Inn & Ho'okipa Catering,Waipahu,Hawaii,United States of America,2010-04-05
Nico's Pier 38,Honolulu,Hawaii,United States of America,2010-04-05
Hank's Haute Dogs,Honolulu,Hawaii,United States of America,2010-04-05
Germaine's Luau,Kapolei,Hawaii,United States of America,2010-04-05
North End Café,Manhattan Beach,California,United States of America,2010-04-27
Gold 'N Silver Inn,Reno,Nevada,United States of America,2010-04-27
Singleton's Seafood Shack,Atlantic Beach,Florida,United States of America,2010-04-27
The Farmer's Shed,Lexington,South Carolina,United States of America,2010-05-03
Poke Stop at Mililana Mauka Llc.,Mililani,Hawaii,United States of America,2010-05-03
Mulberry Café,Lackawanna,New York,United States of America,2010-05-03
Louis' Basque Corner,Reno,Nevada,United States of America,2010-05-10
13 Gypsies,Jacksonville,Florida,United States of America,2010-05-10
Gloria's Café,Los Angeles,California,United States of America,2010-05-10
Café Citti,Kenwood,California,United States of America,2010-05-17
Cabo Fish Taco,Charlotte,North Carolina,United States of America,2010-05-17
Murphy's Bar & Grill,Honolulu,Hawaii,United States of America,2010-05-17
At Last Café,Long Beach,California,United States of America,2010-05-24
Virgil's Café,Bellevue,Kentucky,United States of America,2010-05-24
Martin's Bar-B-Que Joint,Nolensville,Tennessee,United States of America,2010-05-24
Terry's Turf Club,Cincinnati,Ohio,United States of America,2010-05-31
Schellville Grille,Sonoma,California,United States of America,2010-05-31
Jake's Good Eats,Charlotte,North Carolina,United States of America,2010-05-31
Jax At The Trax,Truckee,California,United States of America,2010-06-07
Culhane's Irish Pub,Atlantic Beach,Florida,United States of America,2010-06-07
Blue Ash Chili Restaurant,Cincinnati,Ohio,United States of America,2010-06-07
Don Chow Tacos,Los Angeles,California,United States of America,2010-06-21
Rainbow Drive-In,Honolulu,Hawaii,United States of America,2010-06-21
Northern Waters Smokehaus,Duluth,Minnesota,United States of America,2010-06-21
Blackwater Grill,St. Simons Island,Georgia,United States of America,2010-06-28
Comet Ping Pong,"Washington, D.C.","Washington, D.C.",United States of America,2010-06-28
Wallace Station,Versailles,Kentucky,United States of America,2010-06-28
